hero_id,hero_name,hero,dps,sustained_dps,bullet_damage,bullets_per_sec,fire_rate,ammo,reload_time_s,reload_delay_s,reload_single,bullets_per_shot,bullets_per_burst,time_between_bursted_bullets_s,light_melee,heavy_melee,bullet_velocity_m_s,falloff_start_range_m,falloff_end_range_m,crit_bonus_scale,bullet_radius_cm,rounds_per_second_at_max_spin,spin_acceleration,spin_deceleration,max_health,health_regen,bullet_resist,spirit_resist,melee_resist,crit_reduction,debuff_resist,bullet_lifesteal,move_speed_m_s,sprint_speed_m,stamina_cooldown_s,stamina,dash_speed_m,gravity_scale,spirit_power
6,Abrams,Abrams,51.4,30.5,3.6,1.59,0,9,0.353,0.705,True,9,1,0,50,116,610,17,40,0,7.62,0,0,0,800,1.5,0,0,0,0,0,0,6.4,1.6,4.5,3,13.9,0,0
77,Apollo,Apollo,48.7,33.8,18.5,2.63,0,15,2.5,0,False,1,1,0,63,116,127,25.4,25.4,0,25.4,0,0,0,770,1,0,0,0,0,0,0,7.2,1.6,4.5,3,14.7,0,0
15,Bebop,Bebop,59.3,41.6,4.98,11.9,0,66,2.35,0,False,1,1,0,63,116,508,20,50.8,0,7.62,0,0,0,880,2.5,0,0,0,0,0,0,6.45,4,5.5,3,13.9,0,0
72,Billy,Billy,74.1,34.7,6.3,11.8,0,30,2.9,0,False,1,1,0,50,116,513,14,31.8,-20,10.2,0,0,0,820,2.5,0,0,0,0,0,0,7,1.6,4.5,3,14.7,0,0
16,Calico,Calico,78.9,38.8,1.84,4.76,0,12,2.6,0,False,9,1,0,63,116,318,20,57.5,0,7.62,0,0,0,730,2,0,0,0,0,0,0,6.8,1.6,4.5,3,16.1,0,0
81,Celeste,Celeste,31,21.7,18,1.72,0,8,2,0,False,1,1,0,50,116,50,22,60,-25,45.7,0,0,0,690,1,0,0,0,0,0,0,6.2,1.6,5,4,16.1,-25,0
69,The Doorman,The Doorman,38.1,25.8,24,1.59,0,8,2.4,0,False,1,1,0.05,50,116,203,20,57.5,-30,25.4,0,0,0,755,1,0,0,0,0,0,0,7.9,1.6,4.5,3,16.1,0,0
64,Drifter,Drifter,44.2,30.2,19.5,2.27,0,12,2.44,0,False,3,1,0,51.5,120,508,22,27,-45,15.2,0,0,0,755,3.5,0,0,0,0,0,0,6.9,1.6,4.5,3,14.7,0,0
11,Dynamo,Dynamo,48,33.2,12.6,3.81,0,20,2.35,0,False,1,1,0,50,116,320,20,57.5,0,15.2,0,0,0,880,1.75,0,0,0,0,0,0,6.7,1.6,4.5,3,13.9,0,0
76,Graves,Graves,35.3,20.9,3.6,9.8,0,40,2.8,0,False,1,1,0,50,116,635,7.62,17,0,7.62,0,0,0,730,1,0,0,0,0,0,8,7,2.2,4.5,2,14.7,0,0
17,Grey Talon,Grey Talon,39.2,31.8,23.5,1.67,0,17,2.35,0,False,1,1,0,50,116,495,18,54,0,12.7,0,0,0,780,1.5,0,0,0,0,0,0,6.3,1.6,4.5,4,16.1,0,0
13,Haze,Haze,50.1,26.4,5.26,9.52,0,25,2.35,0,False,1,1,0,50,116,762,20,46,0,7.62,0,0,0,730,2,0,0,0,0,0,0,8.2,1.6,4.5,3,16.1,0,0
14,Holliday,Holliday,41.7,26.4,19.7,2.12,0,10,2.75,0,False,1,1,0,50,116,1160,20,57.5,0,12.7,0,0,0,780,2,0,0,0,0,0,0,8.2,1.6,4.5,2,16.1,0,0
1,Infernus,Infernus,52.4,29.2,5.5,9.52,0,27,2.25,0,False,1,1,0,50,116,660,18,55,0,10.2,0,0,0,830,2,0,0,0,0,0,0,6.7,1.6,4.5,3,14.7,0,0
20,Ivy,Ivy,60.5,30.2,4.45,13.6,0,33,2.44,0,False,1,1,0,50,116,572,20,57.5,0,7.62,0,0,0,755,2,0,0,0,0,0,0,7.2,1.6,4.5,4,16.1,-10,0
12,Kelvin,Kelvin,70.9,41.6,18.6,3.81,0,14,2.59,0,False,1,1,0,50,116,160,20,57.5,-25,15.2,0,0,0,880,1,0,0,0,0,0,0,6.7,1.1,5.5,3,13.9,0,0
4,Lady Geist,Lady Geist,43.8,27.2,20.7,2.12,0,9,2.59,0,False,1,1,0,50,116,828,17,48,0,10.2,0,0,0,880,1,0,0,0,0,0,0,6.3,2.4,4.5,3,13.9,0,0
31,Lash,Lash,49.3,33.5,8.46,5.83,0,29,2.35,0,False,1,3,0.084,50,116,635,20,57.5,0,7.62,0,0,0,780,2,0,10,0,0,0,0,7.2,2.1,4.5,3,14.7,0,0
